song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
1428,TWO TRIBES,FRANKIE GOES TO HOLLYWOOD,90,LW:RE,1,23,1984-12-16,1984,1980,12
62,HAPPY XMAS (WAR IS OVER),JOHN AND YOKO AND THE PLASTIC ONO BAND WITH THE HARLEM COMMUNITY CHOIR,92,LW:RE,2,29,1984-12-16,1984,1980,12
1577,TOUR DE FRANCE {1984},KRAFTWERK,100,LW:RE,22,22,1984-12-16,1984,1980,12
1662,TOGETHER IN ELECTRIC DAMS,GIORGIO MORODER AND PHILIP OAKEY,76,LW:RE,3,14,1984-12-23,1984,1980,12
1696,TOO LATE FOR GOODBYES,JULIAN LENNON,77,LW:RE,6,12,1984-12-23,1984,1980,12
1818,SOLID,ASHFORD AND SIMPSON,78,LW:RE,78,5,1984-12-23,1984,1980,12
1439,I LOVE YOU SUZANNE,LOU REED,87,LW:RE,86,2,1984-12-23,1984,1980,12
1709,SHOUT TO THE TOP,THE STYLE COUNCIL,90,LW:RE,7,9,1984-12-23,1984,1980,12
1853,RIDDLE ME,UB40,93,LW:RE,59,4,1984-12-23,1984,1980,12
1622,LOST IN MUSIC {1984},SISTER SLEDGE,96,LW:RE,4,13,1984-12-23,1984,1980,12
1654,WHY?,BRONSKI BEAT,98,LW:RE,6,11,1984-12-23,1984,1980,12
1858,YOU MIGHT THINK,THE CARS,100,LW:RE,88,4,1984-12-23,1984,1980,12
1774,WARNING SIGN,NICK HEYWARD,72,LW:RE,25,9,1984-12-30,1985,1980,12
1847,THE MEDAL SONG,CULTURE CLUB,74,LW:RE,32,5,1984-12-30,1985,1980,12
1372,DANCING IN THE DARK,BRUCE SPRINGSTEEN,80,LW:RE,28,13,1984-12-30,1985,1980,12
1731,HIGHLY STRUNG,SPANDAU BALLET,81,LW:RE,15,7,1984-12-30,1985,1980,12
1577,TOUR DE FRANCE {1984},KRAFTWERK,87,LW:RE,22,23,1984-12-30,1985,1980,12
1718,OUT OF TOUCH,DARYL HALL AND JOHN OATES,92,LW:RE,48,7,1984-12-30,1985,1980,12
1803,HYPNOTIZE,SCRITTI POLITTI,93,LW:RE,68,5,1984-12-30,1985,1980,12
1693,COVER ME,BRUCE SPRINGSTEEN,95,LW:RE,38,6,1984-12-30,1985,1980,12
1713,THE SECOND TIME,KIM WILDE,96,LW:RE,29,8,1984-12-30,1985,1980,12
270,BLUE MONDAY,NEW ORDER,97,LW:RE,9,66,1984-12-30,1985,1980,12
1589,I'LL FLY FOR YOU,SPANDAU BALLET,99,LW:RE,9,12,1984-12-30,1985,1980,12
1772,THE CHANT HAS BEGUN,LEVEL 42,100,LW:RE,41,6,1984-12-30,1985,1980,12
1914,YAH MO BE THE {1985},JAMES INGRAM AND MICHAEL MCDONALD,60,LW:RE,44,12,1985-01-06,1985,1980,1
1883,SEX O MATIC,THE BAR-KAYS,63,LW:RE,63,5,1985-01-06,1985,1980,1
1799,SEND MY HEART,ADVENTURES,82,LW:RE,62,8,1985-01-06,1985,1980,1
